recipe_id,carbs,dairy,meat,oil,saucy,sugar,veg
228707,,,1.0,,,,2.0
228717,,,,,10.0,,
228862,,1.0,,2.0,,,1.0
229036,,1.0,2.0,,,1.0,
229121,,2.0,,,,,1.0
229656,,,,,,,1.0
229770,,,,1.0,,1.0,3.0
229805,,2.0,,,,1.0,
229839,,1.0,1.0,,,,3.0
230070,,2.0,1.0,1.0,,2.0,
230105,,2.0,1.0,,,,3.0
230120,1.0,,,5.0,,3.0,2.0
230153,,,,,,1.0,
230245,,2.0,,,,1.0,
230410,,,,,,1.0,
230728,,,,,4.0,,
230739,,4.0,1.0,,,3.0,1.0
230742,,3.0,1.0,1.0,,,3.0
230778,,,,,18.0,,
231019,1.0,2.0,,,,,1.0
231044,,2.0,,,,,
231057,,1.0,,,,1.0,
231190,,3.0,1.0,,,3.0,
231235,,1.0,,,,,1.0
231509,,,1.0,,,1.0,4.0
231553,,2.0,,,,1.0,
231608,,1.0,,,,1.0,
231710,,1.0,,1.0,,1.0,3.0
232058,,2.0,1.0,,,,2.0
232094,,,,2.0,,1.0,2.0
232289,,,,1.0,,,2.0
232579,,,,,12.0,,
232608,,,1.0,1.0,,,1.0
232681,1.0,,,,,3.0,
232892,,4.0,,,,2.0,
233016,,,1.0,1.0,,,
233070,,2.0,1.0,,,1.0,1.0
233783,,4.0,,,,,1.0
233807,,1.0,,,,,
233875,,,,,10.0,,
233886,,1.0,1.0,,,,1.0
234117,,,,,3.0,,
234185,,,1.0,,,,1.0
234622,,,,1.0,,,2.0
234845,,1.0,,,,2.0,1.0
234882,,1.0,,1.0,,3.0,
235235,,,,,3.0,,
235283,,,,,,1.0,1.0
235698,,2.0,,,,,
235751,,1.0,,,,1.0,
235997,,,1.0,,,,3.0
236195,,1.0,,,,,1.0
236306,,,1.0,1.0,,,2.0
236451,,,,,,2.0,3.0
236626,,,,1.0,,,3.0
236851,,1.0,,,,,
236852,,3.0,,1.0,,1.0,
236962,,,,,4.0,,
237136,,,,,4.0,,
237201,1.0,1.0,,2.0,,2.0,1.0
