recipe_id,carbs,dairy,meat,oil,sugar,veg
216099,,2.0,,1.0,1.0,2.0
216110,,1.0,1.0,1.0,,2.0
216227,,,,,1.0,
216335,,,,2.0,1.0,5.0
216772,1.0,,,1.0,2.0,4.0
217014,,3.0,,,4.0,
217076,1.0,,,1.0,1.0,4.0
217105,,1.0,,,1.0,
217157,,1.0,1.0,,,3.0
217810,,,,,1.0,1.0
218131,,,1.0,,2.0,1.0
218198,,2.0,,,2.0,
218288,,1.0,,,,2.0
218318,,3.0,,,,
218370,,2.0,1.0,2.0,,1.0
218625,1.0,,,,2.0,
218738,,1.0,,,,1.0
218886,,,,,2.0,2.0
219340,,2.0,1.0,,,
219656,,2.0,,,,2.0
219758,,,1.0,1.0,1.0,3.0
219930,1.0,,,1.0,2.0,3.0
220219,,1.0,4.0,,1.0,4.0
220501,,3.0,,1.0,,2.0
220504,,1.0,,,,1.0
220717,,1.0,,,,2.0
220826,,1.0,1.0,,,
221080,,2.0,1.0,1.0,,
221162,,1.0,1.0,1.0,,
221217,,,,1.0,1.0,1.0
221915,,2.0,,,1.0,3.0
222088,,4.0,,,2.0,
222107,,2.0,,,,1.0
222145,,,,,,2.0
222179,,,1.0,1.0,,2.0
222338,,1.0,,1.0,,
222569,1.0,,1.0,,2.0,2.0
222597,,1.0,2.0,,,3.0
222601,,2.0,,1.0,1.0,
222623,,1.0,,,,
222656,,2.0,1.0,1.0,,1.0
222741,,,,1.0,,2.0
222869,1.0,,1.0,,,3.0
222965,,2.0,1.0,1.0,,
223026,,1.0,,,,1.0
223108,,1.0,1.0,1.0,,2.0
223578,1.0,,,1.0,2.0,1.0
228039,,1.0,,2.0,1.0,1.0
228091,,,2.0,,,1.0
228115,,1.0,,,,
228310,,4.0,1.0,,,2.0
228328,,2.0,,2.0,1.0,1.0
228351,1.0,1.0,,,,1.0
228407,1.0,5.0,1.0,,,
228441,,2.0,,,,3.0
228514,,2.0,1.0,,,3.0
228716,1.0,1.0,,1.0,,7.0
228784,,2.0,,,2.0,
228902,,1.0,,,,
228981,2.0,,,1.0,1.0,3.0
229119,,2.0,,,,1.0
229355,,2.0,,,1.0,
229621,1.0,3.0,1.0,,3.0,1.0
229805,,2.0,,,1.0,
229875,,4.0,1.0,1.0,1.0,
229905,1.0,1.0,,,1.0,1.0
229924,,5.0,,,3.0,1.0
230103,,1.0,,,,2.0
230546,,2.0,,,2.0,
230579,,2.0,,,2.0,1.0
230701,,2.0,1.0,,,1.0
230875,,4.0,,,,2.0
230964,,1.0,,,1.0,
231488,,2.0,2.0,1.0,,1.0
231604,1.0,,2.0,,,1.0
231636,,1.0,1.0,,1.0,1.0
231854,,1.0,1.0,,1.0,1.0
231986,,,2.0,,,
232370,,2.0,,1.0,,1.0
232692,,1.0,,,,1.0
232757,,4.0,,,,2.0
232822,,3.0,1.0,1.0,,
232858,,1.0,,1.0,,
232911,,3.0,,,,
233056,,,1.0,,,4.0
233067,,1.0,1.0,,,1.0
233311,,2.0,1.0,1.0,1.0,3.0
233411,,,,,1.0,
233773,,1.0,1.0,1.0,,2.0
233863,,2.0,1.0,,,3.0
234150,,1.0,,,2.0,2.0
234186,,1.0,1.0,,,2.0
234206,,1.0,,,1.0,
234498,,,1.0,,,5.0
234789,,1.0,,,,2.0
234911,,2.0,2.0,,1.0,3.0
234935,,,,1.0,1.0,2.0
235013,,1.0,,1.0,,2.0
235068,,2.0,,,1.0,
235072,,1.0,,,,
235113,,2.0,,,,
235224,,3.0,,,2.0,2.0
235248,,1.0,,,,1.0
235734,,,,1.0,1.0,3.0
235840,,2.0,,,1.0,1.0
236150,,1.0,1.0,1.0,1.0,
236613,,1.0,1.0,2.0,,3.0
236783,,,,,,2.0
237008,,1.0,2.0,1.0,,1.0
237143,,1.0,,,1.0,2.0
237396,,,,,1.0,2.0
